gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
8,102;148,192;8,314;2343280;114047;2501079;117;26354
7,795;140,12;8,639;2229233;92934;2492977;120;26237
7,719;141,703;8,016;2136299;150062;2485182;124;26117
6,562;136,418;7,006;1986237;25377;2477463;128;25993
6,871;148,785;7,1;1960860;32509;2470901;129;25865
6,912;165,094;8,093;1928351;230776;2464030;131;25736
7,279;173,21;8,902;1697575;174995;2457118;129;25605
7,489;179,419;8,803;1522580;112307;2449839;132;25476
7,103;180,303;8,108;1410273;107520;2442350;134;25344
5,642;151,109;6,682;1302753;58100;2435247;137;25210
5,277;148,425;5,86;1244653;17770;2429605;140;25073
5,856;152,758;5,811;1226883;24671;2424328;144;24933
5,967;163,342;6,018;1202212;81954;2418472;149;24789
6,289;165,109;6,113;1120258;67765;2412505;153;24640
6,435;168,894;5,932;1052493;101858;2406216;159;24487
6,818;175,133;7,218;950635;118223;2399781;167;24328
5,862;151,342;7,905;832412;125961;2392963;164;24161
6,436;148,636;8,812;706451;29548;2387101;165;23997
7,55;156,792;8,005;676903;60251;2380665;168;23832
8,314;167,211;9,109;616652;337200;2373115;169;23664
8,962;169,847;9,011;279452;279452;2364801;170;23495
