gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
111,096;452,363;82,168;143303935;178297;12446111;241;89211
96,514;432,131;83,274;143125638;215592;12335015;236;88970
87,934;412,352;76,552;142910046;76653;12238501;201;88734
98,715;421,435;80,402;142833393;97925;12150567;221;88533
111,157;468,152;83,536;142735468;212771;12051852;248;88312
107,53;455,463;88,014;142522697;173739;11940695;233;88064
110,682;457,885;86,671;142348958;177387;11833165;217;87831
102,601;452,173;87,562;142171571;189781;11722483;198;87614
93,261;435,513;93,438;141981790;203273;11619882;182;87416
88,145;428,214;81,53;141778517;74716;11526621;189;87234
94,783;440,017;83,261;141703801;91615;11438476;174;87045
93,586;438,252;85,503;141612186;195229;11343693;210;86871
82,18;424,164;83,225;141416957;164628;11250107;174;86661
77,434;416,536;85,501;141252329;154211;11167927;188;86487
76,341;418,427;82,203;141098118;159360;11090493;174;86299
67,023;401,636;78,362;140938758;195206;11014152;156;86125
65,503;392,281;75,422;140743552;77888;10947129;185;85969
72,856;417,161;89,926;140665664;109291;10881626;184;85784
72,555;416,453;87,192;140556373;245141;10808770;181;85600
71,843;414,312;85,948;140311232;223673;10736215;166;85419
72,615;412,031;84,426;140087559;221922;10664372;176;85253
69,658;418,253;77,612;139865637;287228;10591757;157;85077
64,935;403,836;72,106;139578409;348221;10522099;162;84920
54,1;364,426;68,895;139230188;158367;10457164;136;84758
63,967;384,263;52,016;139071821;245261;10403064;177;84622
67,857;392,438;56,256;138826560;500242;10339097;167;84278
75,564;410,116;51,675;138326318;434483;10271240;153;84278
77,722;422,028;42,573;137891835;463675;10195676;145;84125
74,266;430,253;39,226;137428160;529282;10117954;137;83980
65,236;403,104;38,242;136898878;617838;10043688;141;83843
61,727;384,049;35,163;136281040;283107;9978452;173;83702
66,237;418,264;34,592;135997933;379883;9916725;141;83529
63,214;406,796;29,197;135618050;754791;9850488;157;83388
68,413;418,823;25,502;134863259;668194;9787274;156;83231
66,467;417,787;29,316;134195065;283107;9718861;143;83075
54,724;382,888;26,561;133095065;379883;9652394;137;82932
44,869;368,913;27,492;132897714;682699;9597670;160;82795
33,52;362,836;22,161;132215015;284540;9552801;129;82635
36,731;369,027;23,325;131930475;284470;9519281;145;82506
40,786;372,516;23,968;131646005;511231;9482550;163;82361
39,681;369,647;24,854;131134774;562917;9441764;139;82198
36,684;366,363;25,638;130571857;599349;9402083;142;81917
32,176;368,842;23,104;129972508;639663;9365399;184;81917
26,099;362,535;22,024;129332845;677959;9333223;157;81733
20,138;351,965;21,214;128654886;305630;9307124;173;81576
20,47;357,536;22,109;128349256;354541;9286986;145;81258
18,91;356,106;20,351;127994715;709587;9266516;133;81258
18,771;355,753;21,605;127285128;719425;9247606;168;81125
19,095;352,438;22,816;126565703;804231;9228835;179;80957
19,859;353,152;25,532;125761472;848947;9209740;187;80778
18,762;351,253;24,497;124912525;853834;9189881;176;80591
16,91;349,193;22,858;124058691;433342;9171119;171;80415
17,644;342,183;25,568;123625349;480568;9154209;191;80244
18,141;354,857;24,245;123144781;751315;9136565;190;80053
18,1;354,003;25,664;122393466;356339;9118424;167;79863
19,872;357,325;25,239;122037127;101838;9100324;193;79696
21,477;358,117;24,042;121935289;131256;9080452;181;79503
18,796;351,536;23,242;121804033;148382;9058975;171;79322
17,956;345,754;22,648;121655651;55111;9040179;182;79151
19,255;349,221;23,18;121600540;67812;9022223;191;78969
18,561;347,232;25,129;121532728;138702;9002968;176;78778
19,696;350,522;27,263;121394026;117178;8984407;195;78602
20,874;356,254;29,883;121276848;116058;8964711;192;78407
22,687;355,317;24,366;121160790;118362;8943837;198;78215
20,033;354,269;25,611;121042428;131990;8921150;187;78017
19,357;350,937;24,278;120910438;52898;8901117;185;77830
20,374;353,035;19,463;120857540;68867;8881760;228;77645
21,495;355,226;20,193;120788673;147820;8861386;187;77417
21,747;354,385;22,284;120640853;124040;8839891;192;77230
22,556;355,252;24,113;120516813;126162;8818144;196;77038
25,216;359,42;24,498;120390651;129022;8795588;207;76842
24,317;358,816;23,273;120261629;147131;8770372;189;76635
21,655;350,385;20,007;120114498;56073;8746055;213;76446
23,759;358,274;25,103;120058425;70720;8724400;192;76233
24,002;361,229;25,341;119987705;142772;8700641;201;76041
24,467;363,043;29,639;119844933;118858;8676639;222;75840
27,592;364,351;28,285;119726075;123972;8652172;175;75618
28,17;365,412;29,353;119602103;128231;8624580;208;75443
24,856;361,005;28,935;119473872;146153;8596410;193;75235
21,177;350,163;34,29;119327719;55435;8571554;195;75042
23,347;352,335;29,163;119272284;71817;8550377;201;74847
23,81;356,563;28,749;119200467;170669;8527030;218;74646
22,234;357,223;29,538;119029798;146728;8503220;226;74428
23,867;358,784;28,543;118883070;155265;8480986;229;74202
